From:	NCF::STPMODELS    "D. Bilitza (301)513-1664" 20-DEC-1996 15:16:31.07
To:	BILITZA
 89293 0.00000E+00 3.11923E+11 205 216   91110 0.00000E+00 3.93866E+11 235 207
 89294 0.00000E+00 3.11317E+11 206 215   91111 0.00000E+00 3.79254E+11 182 207
 89295 0.00000E+00 3.12908E+11 218 215   91112 0.00000E+00 3.59860E+11 169 207
 89296 0.00000E+00 3.16343E+11 210 214   91113 0.00000E+00 3.43467E+11 149 207
 89297 0.00000E+00 3.21916E+11 214 213   91114 0.00000E+00 3.29632E+11 137 206
 89298 0.00000E+00 3.30666E+11 183 213   91115 0.00000E+00 3.22075E+11 138 207
 89299 0.00000E+00 3.44746E+11 172 212   91116 0.00000E+00 3.33411E+11 138 207
 89300 0.00000E+00 3.59860E+11 177 212   91117 0.00000E+00 3.37189E+11 145 206
 89301 0.00000E+00 3.56081E+11 173 212   91118 0.00000E+00 3.40968E+11 158 206
 89302 0.00000E+00 3.59860E+11 172 212   91119 0.00000E+00 3.52303E+11 161 206
 89303 0.00000E+00 3.71195E+11 186 212   91120 0.00000E+00 3.59860E+11 162 206
 89304 0.00000E+00 3.79486E+11 202 212   91121 0.00000E+00 3.63638E+11 164 206
 89305 0.00000E+00 3.83318E+11 211 212   91122 0.00000E+00 3.64998E+11 160 205
 89306 0.00000E+00 3.82531E+11 216 212   91123 0.00000E+00 3.67417E+11 160 205
 89307 0.00000E+00 3.78752E+11 218 212   91124 0.00000E+00 3.71195E+11 166 205
 89308 0.00000E+00 3.81540E+11 224 212   91125 0.00000E+00 3.67417E+11 183 205
 89309 0.00000E+00 3.86309E+11 235 212   91126 0.00000E+00 3.68269E+11 207 204
 89310 0.00000E+00 3.86549E+11 255 212   91127 0.00000E+00 3.71195E+11 215 204
 89311 0.00000E+00 3.83365E+11 207 212   91128 0.00000E+00 3.71195E+11 236 204
 89312 0.00000E+00 3.78929E+11 271 212   91129 0.00000E+00 3.72404E+11 230 204
 89313 0.00000E+00 3.74974E+11 257 212   91130 0.00000E+00 3.75196E+11 237 204
 89314 0.00000E+00 3.74974E+11 246 211   91131 0.00000E+00 3.78752E+11 235 203
 89315 0.00000E+00 3.82531E+11 249 211   91132 0.00000E+00 3.82106E+11 254 203
 89316 0.00000E+00 3.82013E+11 254 211   91133 0.00000E+00 3.82531E+11 220 203
 89317 0.00000E+00 3.78752E+11 240 211   91134 0.00000E+00 3.74974E+11 213 203
 89318 0.00000E+00 3.81571E+11 243 211   91135 0.00000E+00 3.63638E+11 198 202
 89319 0.00000E+00 3.88072E+11 217 211   91136 0.00000E+00 3.78752E+11 193 202
 89320 0.00000E+00 3.93866E+11 216 212   91137 0.00000E+00 3.67417E+11 176 202
 89321 0.00000E+00 3.96065E+11 215 212   91138 0.00000E+00 3.63638E+11 174 202
 89322 0.00000E+00 3.97645E+11 222 213   91139 0.00000E+00 3.71195E+11 163 203
 89323 0.00000E+00 4.01865E+11 229 213   91140 0.00000E+00 3.61899E+11 152 203
 89324 0.00000E+00 4.07833E+11 224 214   91141 0.00000E+00 3.44746E+11 153 203
 89325 0.00000E+00 4.14020E+11 229 215   91142 0.00000E+00 3.37189E+11 152 203
 89326 0.00000E+00 4.18972E+11 222 215   91143 0.00000E+00 3.44746E+11 159 203
 89327 0.00000E+00 4.20803E+11 213 215   91144 0.00000E+00 3.48525E+11 163 204
 89328 0.00000E+00 4.16537E+11 209 214   91145 0.00000E+00 3.56081E+11 179 203
 89329 0.00000E+00 4.05202E+11 216 214   91146 0.00000E+00 3.63638E+11 191 203
 89330 0.00000E+00 3.96677E+11 234 213   91147 0.00000E+00 3.63638E+11 203 203
 89331 0.00000E+00 3.91679E+11 239 213   91148 0.00000E+00 3.71195E+11 221 203
 89332 0.00000E+00 3.88645E+11 231 212   91149 0.00000E+00 3.74974E+11 231 202
 89333 0.00000E+00 3.86701E+11 215 211   91150 0.00000E+00 3.79489E+11 214 202
 89334 0.00000E+00 3.85353E+11 241 211   91151 0.00000E+00 3.84808E+11 231 201
 89335 0.00000E+00 3.84318E+11 224 210   91152 0.00000E+00 3.88212E+11 225 202
 89336 0.00000E+00 3.83420E+11 214 210   91153 0.00000E+00 3.86309E+11 243 202
 89337 0.00000E+00 3.82531E+11 206 209   91154 0.00000E+00 3.78752E+11 227 203
 89338 0.00000E+00 3.81538E+11 213 209   91155 0.00000E+00 3.78155E+11 246 204
 89339 0.00000E+00 3.80335E+11 210 209   91156 0.00000E+00 3.84189E+11 258 204
 89340 0.00000E+00 3.78752E+11 210 209   91157 0.00000E+00 3.93866E+11 241 205
 89341 0.00000E+00 3.78752E+11 222 209   91158 0.00000E+00 4.01423E+11 237 205
 89342 0.00000E+00 3.86309E+11 204 209   91159 0.00000E+00 3.97645E+11 251 205
 89343 0.00000E+00 3.90088E+11 195 210   91160 0.00000E+00 4.05202E+11 245 206
 89344 0.00000E+00 3.82187E+11 177 210   91161 0.00000E+00 4.08980E+11 246 206
 89345 0.00000E+00 3.74974E+11 172 211   91162 0.00000E+00 4.12503E+11 243 207
 89346 0.00000E+00 3.78752E+11 165 211   91163 0.00000E+00 4.13542E+11 237 208
 89347 0.00000E+00 3.80212E+11 163 211   91164 0.00000E+00 4.05202E+11 225 209
 89348 0.00000E+00 3.77954E+11 162 212   91165 0.00000E+00 3.86309E+11 207 210
 89349 0.00000E+00 3.74374E+11 166 212   91166 0.00000E+00 3.74974E+11 203 210
 89350 0.00000E+00 3.71405E+11 164 212   91167 0.00000E+00 3.56081E+11 191 211
 89351 0.00000E+00 3.71195E+11 176 212   91168 0.00000E+00 3.40968E+11 182 211
 89352 0.00000E+00 3.75555E+11 186 212   91169 0.00000E+00 3.43123E+11 179 210
 89353 0.00000E+00 3.82601E+11 188 211   91170 0.00000E+00 3.52303E+11 181 210
 89354 0.00000E+00 3.90088E+11 189 211   91171 0.00000E+00 3.56081E+11 172 210
 89355 0.00000E+00 3.96398E+11 190 211   91172 0.00000E+00 3.56081E+11 175 210
 89356 0.00000E+00 4.01423E+11 200 210   91173 0.00000E+00 3.67417E+11 175 210
 89357 0.00000E+00 4.05256E+11 214 209   91174 0.00000E+00 3.74974E+11 167 210
 89358 0.00000E+00 4.08296E+11 231 209   91175 0.00000E+00 3.74974E+11 174 210
 89359 0.00000E+00 4.10845E+11 248 208   91176 0.00000E+00 3.78752E+11 179 210
 89360 0.00000E+00 4.13030E+11 253 207   91177 0.00000E+00 3.78752E+11 191 210
 89361 0.00000E+00 4.14854E+11 275 206   91178 0.00000E+00 3.82531E+11 206 210
 89362 0.00000E+00 4.16191E+11 246 205   91179 0.00000E+00 3.90088E+11 218 210
 89363 0.00000E+00 4.16746E+11 243 204   91180 0.00000E+00 3.86309E+11 234 210
 89364 0.00000E+00 4.15949E+11 258 203   91181 0.00000E+00 3.90088E+11 244 210
 89365 0.00000E+00 4.12759E+11 237 202   91182 0.00000E+00 3.93866E+11 250 210
 90001 0.00000E+00 4.05202E+11 209 201   91183 0.00000E+00 4.01423E+11 252 209
 90002 0.00000E+00 3.91812E+11 209 200   91184 0.00000E+00 4.08980E+11 257 209
 90003 0.00000E+00 3.78811E+11 193 199   91185 0.00000E+00 4.08980E+11 255 209
 90004 0.00000E+00 3.74974E+11 189 198   91186 0.00000E+00 4.08980E+11 260 209
 90005 0.00000E+00 3.82531E+11 187 197   91187 0.00000E+00 4.11124E+11 241 210
 90006 0.00000E+00 3.78752E+11 181 196   91188 0.00000E+00 4.13293E+11 226 211
 90007 0.00000E+00 3.74974E+11 177 195   91189 0.00000E+00 4.12759E+11 211 211
 90008 0.00000E+00 3.82531E+11 171 194   91190 0.00000E+00 4.07600E+11 201 212
 90009 0.00000E+00 3.56081E+11 161 194   91191 0.00000E+00 4.01423E+11 200 213
 90010 0.00000E+00 3.63638E+11 167 193   91192 0.00000E+00 3.97645E+11 202 214
 90011 0.00000E+00 3.71195E+11 170 193   91193 0.00000E+00 3.93866E+11 210 215
 90012 0.00000E+00 3.71870E+11 170 192   91194 0.00000E+00 3.86733E+11 202 215
 90013 0.00000E+00 3.70691E+11 167 193   91195 0.00000E+00 3.77281E+11 195 216
 90014 0.00000E+00 3.71195E+11 166 193   91196 0.00000E+00 3.67149E+11 192 216
 90015 0.00000E+00 3.76115E+11 185 193   91197 0.00000E+00 3.57738E+11 173 216
 90016 0.00000E+00 3.84071E+11 188 193   91198 0.00000E+00 3.50702E+11 164 215
 90017 0.00000E+00 3.93358E+11 187 193   91199 0.00000E+00 3.48525E+11 195 215
 90018 0.00000E+00 4.02736E+11 217 193   91200 0.00000E+00 3.53607E+11 184 214
 90019 0.00000E+00 4.10996E+11 233 194   91201 0.00000E+00 3.63638E+11 205 214
 90020 0.00000E+00 4.16537E+11 238 194   91202 0.00000E+00 3.74974E+11 222 213
 90021 0.00000E+00 4.17905E+11 251 194   91203 0.00000E+00 3.82531E+11 230 212
 90022 0.00000E+00 4.16640E+11 234 194   91204 0.00000E+00 3.90088E+11 234 212
 90023 0.00000E+00 4.14459E+11 234 194   91205 0.00000E+00 3.93866E+11 241 211
 90024 0.00000E+00 4.12759E+11 240 194   91206 0.00000E+00 3.93866E+11 238 211
 90025 0.00000E+00 4.12759E+11 235 194   91207 0.00000E+00 4.20315E+11 227 210
 90026 0.00000E+00 4.14476E+11 239 194   91208 0.00000E+00 4.12759E+11 220 210
 90027 0.00000E+00 4.16537E+11 232 194   91209 0.00000E+00 4.01979E+11 219 210
 90028 0.00000E+00 4.16537E+11 230 194   91210 0.00000E+00 3.97382E+11 227 210
 90029 0.00000E+00 4.10621E+11 228 193   91211 0.00000E+00 3.96135E+11 228 210
 90030 0.00000E+00 4.01423E+11 211 193   91212 0.00000E+00 3.96579E+11 226 210
 90031 0.00000E+00 3.92092E+11 209 192   91213 0.00000E+00 3.97645E+11 232 211
 90032 0.00000E+00 3.83206E+11 201 191   91214 0.00000E+00 3.97645E+11 213 211
 90033 0.00000E+00 3.74878E+11 178 191   91215 0.00000E+00 3.93563E+11 219 211
 90034 0.00000E+00 3.67417E+11 158 190   91216 0.00000E+00 3.90088E+11 199 211
 90035 0.00000E+00 3.59860E+11 155 189   91217 0.00000E+00 3.91356E+11 179 211
 90036 0.00000E+00 3.48525E+11 151 188   91218 0.00000E+00 3.90088E+11 171 211
 90037 0.00000E+00 3.40968E+11 148 187   91219 0.00000E+00 3.82531E+11 170 211
 90038 0.00000E+00 3.42742E+11 144 187   91220 0.00000E+00 3.82531E+11 164 210
 90039 0.00000E+00 3.49554E+11 142 187   91221 0.00000E+00 3.75564E+11 155 210
 90040 0.00000E+00 3.55892E+11 142 186   91222 0.00000E+00 3.62349E+11 146 209
 90041 0.00000E+00 3.56081E+11 149 186   91223 0.00000E+00 3.48525E+11 142 208
 90042 0.00000E+00 3.48525E+11 135 187   91224 0.00000E+00 3.40968E+11 151 207
 90043 0.00000E+00 3.48276E+11 140 187   91225 0.00000E+00 3.52303E+11 160 206
 90044 0.00000E+00 3.54861E+11 143 187   91226 0.00000E+00 3.82531E+11 180 205
 90045 0.00000E+00 3.64217E+11 150 188   91227 0.00000E+00 4.01407E+11 221 204
 90046 0.00000E+00 3.73249E+11 149 188   91228 0.00000E+00 4.08211E+11 271 203
 90047 0.00000E+00 3.78752E+11 149 188   91229 0.00000E+00 4.08980E+11 278 203
 90048 0.00000E+00 3.78752E+11 152 189   91230 0.00000E+00 4.07829E+11 291 203
 90049 0.00000E+00 3.78752E+11 161 189   91231 0.00000E+00 4.08980E+11 297 202
 90050 0.00000E+00 3.82330E+11 180 189   91232 0.00000E+00 4.15623E+11 293 202
 90051 0.00000E+00 3.86309E+11 190 189   91233 0.00000E+00 4.24622E+11 292 202
 90052 0.00000E+00 3.87165E+11 212 189   91234 0.00000E+00 4.31642E+11 292 202
 90053 0.00000E+00 3.85655E+11 216 188   91235 0.00000E+00 4.31651E+11 277 203
 90054 0.00000E+00 3.83028E+11 217 188   91236 0.00000E+00 4.20564E+11 255 203
 90055 0.00000E+00 3.80145E+11 232 188   91237 0.00000E+00 4.04237E+11 243 203
 90056 0.00000E+00 3.77775E+11 225 188   91238 0.00000E+00 3.90088E+11 215 203
 90057 0.00000E+00 3.76868E+11 213 187   91239 0.00000E+00 3.83637E+11 200 203
 90058 0.00000E+00 3.78885E+11 224 187   91240 0.00000E+00 3.82279E+11 194 203
 90059 0.00000E+00 3.86309E+11 222 186   91241 0.00000E+00 3.82531E+11 199 203
 90060 0.00000E+00 3.97645E+11 200 185   91242 0.00000E+00 3.82191E+11 199 203
 90061 0.00000E+00 3.96115E+11 193 184   91243 0.00000E+00 3.81785E+11 185 202
 90062 0.00000E+00 3.84059E+11 176 183   91244 0.00000E+00 3.82531E+11 179 202
 90063 0.00000E+00 3.67381E+11 169 182   91245 0.00000E+00 3.85027E+11 184 201
 90064 0.00000E+00 3.50368E+11 162 182   91246 0.00000E+00 3.86309E+11 178 200
 90065 0.00000E+00 3.37189E+11 164 182   91247 0.00000E+00 3.83403E+11 174 200
 90066 0.00000E+00 3.31341E+11 168 182   91248 0.00000E+00 3.77732E+11 166 199
 90067 0.00000E+00 3.30681E+11 157 182   91249 0.00000E+00 3.71195E+11 179 199
 90068 0.00000E+00 3.32868E+11 151 182   91250 0.00000E+00 3.63638E+11 177 198
 90069 0.00000E+00 3.36557E+11 149 182   91251 0.00000E+00 3.52303E+11 199 197
 90070 0.00000E+00 3.40928E+11 143 183   91252 0.00000E+00 3.47212E+11 183 196
 90071 0.00000E+00 3.45399E+11 146 183   91253 0.00000E+00 3.49280E+11 187 195
 90072 0.00000E+00 3.49425E+11 146 183   91254 0.00000E+00 3.57949E+11 180 195
 90073 0.00000E+00 3.52303E+11 150 184   91255 0.00000E+00 3.74974E+11 185 194
 90074 0.00000E+00 3.56081E+11 164 184   91256 0.00000E+00 3.97645E+11 187 194
 90075 0.00000E+00 3.67417E+11 178 184   91257 0.00000E+00 4.04779E+11 183 194
 90076 0.00000E+00 3.71325E+11 182 185   91258 0.00000E+00 4.01423E+11 182 195
 90077 0.00000E+00 3.71195E+11 196 185   91259 0.00000E+00 3.96792E+11 176 196
 90078 0.00000E+00 3.74336E+11 216 185   91260 0.00000E+00 3.92489E+11 179 197
 90079 0.00000E+00 3.81388E+11 224 185   91261 0.00000E+00 3.88474E+11 183 198
 90080 0.00000E+00 3.92439E+11 228 185   91262 0.00000E+00 3.84807E+11 174 200
 90081 0.00000E+00 4.08980E+11 243 185   91263 0.00000E+00 3.81668E+11 171 201
 90082 0.00000E+00 4.24094E+11 245 185   91264 0.00000E+00 3.79423E+11 178 202
 90083 0.00000E+00 4.16537E+11 231 185   91265 0.00000E+00 3.78752E+11 189 203
 90084 0.00000E+00 4.31651E+11 224 184   91266 0.00000E+00 3.80277E+11 186 204
 90085 0.00000E+00 4.42689E+11 227 184   91267 0.00000E+00 3.82918E+11 181 204
 90086 0.00000E+00 4.44117E+11 215 184   91268 0.00000E+00 3.85382E+11 182 203
 90087 0.00000E+00 4.39917E+11 206 184   91269 0.00000E+00 3.86309E+11 202 202
 90088 0.00000E+00 4.32100E+11 184 185   91270 0.00000E+00 3.85176E+11 179 201
 90089 0.00000E+00 4.21415E+11 187 185   91271 0.00000E+00 3.86309E+11 176 200
 90090 0.00000E+00 4.07604E+11 173 185   91272 0.00000E+00 3.90088E+11 195 198
 90091 0.00000E+00 3.89317E+11 159 186   91273 0.00000E+00 3.82531E+11 200 197
 90092 0.00000E+00 3.63638E+11 153 186   91274 0.00000E+00 3.74974E+11 208 196
 90093 0.00000E+00 3.33411E+11 152 186   91275 0.00000E+00 3.74974E+11 221 195
 90094 0.00000E+00 3.23073E+11 149 186   91276 0.00000E+00 3.82531E+11 212 194
 90095 0.00000E+00 3.28565E+11 157 187   91277 0.00000E+00 3.71195E+11 213 193
 90096 0.00000E+00 3.40594E+11 150 187   91278 0.00000E+00 3.56081E+11 193 192
 90097 0.00000E+00 3.52155E+11 155 187   91279 0.00000E+00 3.56081E+11 182 191
 90098 0.00000E+00 3.56081E+11 152 188   91280 0.00000E+00 3.48525E+11 180 191
 90099 0.00000E+00 3.52303E+11 147 189   91281 0.00000E+00 3.48525E+11 179 190
 90100 0.00000E+00 3.59860E+11 149 189   91282 0.00000E+00 3.64202E+11 184 190
 90101 0.00000E+00 3.53810E+11 161 190   91283 0.00000E+00 3.78752E+11 179 189
 90102 0.00000E+00 3.48525E+11 170 191   91284 0.00000E+00 3.78752E+11 178 189
 90103 0.00000E+00 3.67417E+11 196 191   91285 0.00000E+00 3.80262E+11 187 188
 90104 0.00000E+00 3.97645E+11 216 192   91286 0.00000E+00 3.82531E+11 183 188
 90105 0.00000E+00 3.86309E+11 223 192   91287 0.00000E+00 3.82531E+11 186 187
 90106 0.00000E+00 3.80141E+11 226 192   91288 0.00000E+00 3.90088E+11 178 187
 90107 0.00000E+00 3.87397E+11 237 192   91289 0.00000E+00 3.97645E+11 180 186
 90108 0.00000E+00 4.01972E+11 243 192   91290 0.00000E+00 3.82531E+11 168 186
 90109 0.00000E+00 4.20315E+11 244 192   91291 0.00000E+00 3.86309E+11 157 185
 90110 0.00000E+00 4.31651E+11 257 192   91292 0.00000E+00 3.71195E+11 153 185
 90111 0.00000E+00 4.16537E+11 240 192   91293 0.00000E+00 3.60890E+11 156 184
 90112 0.00000E+00 4.16537E+11 233 192   91294 0.00000E+00 3.59899E+11 167 184
 90113 0.00000E+00 3.90088E+11 226 192   91295 0.00000E+00 3.63880E+11 183 184
 90114 0.00000E+00 3.74142E+11 217 192   91296 0.00000E+00 3.70232E+11 192 184
 90115 0.00000E+00 3.70577E+11 198 192   91297 0.00000E+00 3.77185E+11 228 184
 90116 0.00000E+00 3.67417E+11 189 192   91298 0.00000E+00 3.83176E+11 237 184
 90117 0.00000E+00 3.56081E+11 170 191   91299 0.00000E+00 3.86309E+11 248 184
 90118 0.00000E+00 3.40968E+11 153 191   91300 0.00000E+00 3.86025E+11 246 184
 90119 0.00000E+00 3.33411E+11 141 191   91301 0.00000E+00 3.90088E+11 268 184
 90120 0.00000E+00 3.29598E+11 137 191   91302 0.00000E+00 4.01423E+11 269 185
 90121 0.00000E+00 3.29632E+11 129 190   91303 0.00000E+00 3.99672E+11 258 186
 90122 0.00000E+00 3.34734E+11 129 190   91304 0.00000E+00 3.90088E+11 228 187
 90123 0.00000E+00 3.38861E+11 125 190   91305 0.00000E+00 3.82531E+11 227 187
 90124 0.00000E+00 3.33411E+11 124 190   91306 0.00000E+00 3.74974E+11 215 188
 90125 0.00000E+00 3.18297E+11 131 189   91307 0.00000E+00 3.57824E+11 183 189
 90126 0.00000E+00 3.22075E+11 151 189   91308 0.00000E+00 3.52303E+11 174 189
 90127 0.00000E+00 3.29632E+11 156 189   91309 0.00000E+00 3.71195E+11 173 190
 90128 0.00000E+00 3.33411E+11 171 188   91310 0.00000E+00 3.71195E+11 183 190
 90129 0.00000E+00 3.44746E+11 175 188   91311 0.00000E+00 3.69604E+11 190 190
 90130 0.00000E+00 3.53330E+11 195 188   91312 0.00000E+00 3.71879E+11 197 190
 90131 0.00000E+00 3.63638E+11 205 188   91313 0.00000E+00 3.76153E+11 194 190
 90132 0.00000E+00 3.78752E+11 215 188   91314 0.00000E+00 3.81255E+11 192 190
 90133 0.00000E+00 3.82531E+11 226 188   91315 0.00000E+00 3.86309E+11 194 190
 90134 0.00000E+00 3.88433E+11 224 188   91316 0.00000E+00 3.90088E+11 189 190
 90135 0.00000E+00 3.93866E+11 247 187   91317 0.00000E+00 3.90542E+11 177 190
 90136 0.00000E+00 3.93866E+11 252 187   91318 0.00000E+00 3.88082E+11 180 190
 90137 0.00000E+00 3.97385E+11 249 187   91319 0.00000E+00 3.83070E+11 169 190
 90138 0.00000E+00 4.03343E+11 272 188   91320 0.00000E+00 3.74974E+11 162 191
 90139 0.00000E+00 4.07549E+11 280 188   91321 0.00000E+00 3.63413E+11 161 192
 90140 0.00000E+00 4.05202E+11 273 189   91322 0.00000E+00 3.51797E+11 160 193
 90141 0.00000E+00 3.93866E+11 259 190   91323 0.00000E+00 3.44746E+11 155 194
 90142 0.00000E+00 3.83487E+11 250 191   91324 0.00000E+00 3.48525E+11 150 195
 90143 0.00000E+00 3.74974E+11 240 192   91325 0.00000E+00 3.63638E+11 142 196
 90144 0.00000E+00 3.67417E+11 209 193   91326 0.00000E+00 3.63638E+11 136 196
 90145 0.00000E+00 3.59860E+11 189 193   91327 0.00000E+00 3.52303E+11 133 197
 90146 0.00000E+00 3.44746E+11 186 193   91328 0.00000E+00 3.56081E+11 128 197
 90147 0.00000E+00 3.40968E+11 165 193   91329 0.00000E+00 3.48525E+11 131 198
 90148 0.00000E+00 3.44746E+11 159 193   91330 0.00000E+00 3.52303E+11 140 199
 90149 0.00000E+00 3.35904E+11 145 192   91331 0.00000E+00 3.48525E+11 149 200
 90150 0.00000E+00 3.25854E+11 143 191   91332 0.00000E+00 3.45162E+11 150 201
 90151 0.00000E+00 3.25854E+11 143 190   91333 0.00000E+00 3.44746E+11 157 202
 90152 0.00000E+00 3.22075E+11 141 189   91334 0.00000E+00 3.45902E+11 163 203
 90153 0.00000E+00 3.25854E+11 141 188   91335 0.00000E+00 3.46684E+11 168 203
 90154 0.00000E+00 3.29632E+11 146 188   91336 0.00000E+00 3.44746E+11 166 204
 90155 0.00000E+00 3.44746E+11 148 187   91337 0.00000E+00 3.40968E+11 178 205
 90156 0.00000E+00 3.48525E+11 154 186   91338 0.00000E+00 3.47005E+11 185 205
 90157 0.00000E+00 3.44746E+11 161 186   91339 0.00000E+00 3.59370E+11 186 205
 90158 0.00000E+00 3.56081E+11 184 185   91340 0.00000E+00 3.71195E+11 192 205
 90159 0.00000E+00 3.70707E+11 196 185   91341 0.00000E+00 3.78752E+11 203 204
 90160 0.00000E+00 3.82030E+11 204 185   91342 0.00000E+00 3.87925E+11 220 204
 90161 0.00000E+00 3.86309E+11 208 186   91343 0.00000E+00 3.98610E+11 250 204
 90162 0.00000E+00 3.86309E+11 217 186   91344 0.00000E+00 4.08806E+11 253 203
 90163 0.00000E+00 3.97645E+11 222 186   91345 0.00000E+00 4.16339E+11 238 203
 90164 0.00000E+00 3.90088E+11 209 187   91346 0.00000E+00 4.18105E+11 236 204
 90165 0.00000E+00 4.01423E+11 207 188   91347 0.00000E+00 4.08980E+11 247 204
 90166 0.00000E+00 4.00827E+11 196 189   91348 0.00000E+00 3.90088E+11 222 204
 90167 0.00000E+00 3.93866E+11 190 190   91349 0.00000E+00 3.86309E+11 207 205
 90168 0.00000E+00 3.93866E+11 188 190   91350 0.00000E+00 3.86634E+11 225 206
 90169 0.00000E+00 3.86309E+11 170 190   91351 0.00000E+00 3.86647E+11 192 207
 90170 0.00000E+00 3.63638E+11 164 190   91352 0.00000E+00 3.86469E+11 189 207
 90171 0.00000E+00 3.59860E+11 161 190   91353 0.00000E+00 3.86156E+11 182 208
 90172 0.00000E+00 3.56081E+11 156 190   91354 0.00000E+00 3.85714E+11 192 208
 90173 0.00000E+00 3.44746E+11 145 190   91355 0.00000E+00 3.85106E+11 186 209
 90174 0.00000E+00 3.30176E+11 139 190   91356 0.00000E+00 3.84236E+11 216 209
 90175 0.00000E+00 3.22075E+11 144 189   91357 0.00000E+00 3.82916E+11 219 210
 90176 0.00000E+00 3.25854E+11 149 189   91358 0.00000E+00 3.80801E+11 222 210
 90177 0.00000E+00 3.33411E+11 155 188   91359 0.00000E+00 3.77267E+11 251 211
 90178 0.00000E+00 3.59860E+11 173 187   91360 0.00000E+00 3.71195E+11 252 212
 90179 0.00000E+00 3.59860E+11 188 186   91361 0.00000E+00 3.63638E+11 244 213
 90180 0.00000E+00 3.63088E+11 211 184   91362 0.00000E+00 3.63638E+11 263 214
 90181 0.00000E+00 3.71195E+11 227 183   91363 0.00000E+00 0.00000E+00 246 215
 90182 0.00000E+00 3.75318E+11 248 182   91364 0.00000E+00 0.00000E+00 263 216
